# this is a map:
# type, action, material, direction = file, sequence index, start, duration
# See 

*,*,*,*=10, 0, 0, 1
BEARER, WALKING, GOLDORE, WEST       = 10, 7, 12, 12
BEARER, WALKING, GOLDORE, NORTH_WEST = 10, 7, 24, 12
BEARER, WALKING, GOLDORE, NORTH_EAST = 10, 7, 36, 12
BEARER, WALKING, GOLDORE, EAST       = 10, 7, 48, 12
BEARER, WALKING, GOLDORE, SOUTH_EAST = 10, 7, 60, 12
BEARER, WALKING, IRONORE, SOUTH_WEST = 10, 8,  0, 12
BEARER, WALKING, IRONORE, WEST       = 10, 8, 12, 12
BEARER, WALKING, IRONORE, NORTH_WEST = 10, 8, 24, 12
BEARER, WALKING, IRONORE, NORTH_EAST = 10, 8, 36, 12
BEARER, WALKING, IRONORE, EAST       = 10, 8, 48, 12
BEARER, WALKING, IRONORE, SOUTH_EAST = 10, 8, 60, 12
BEARER, WALKING, FISH, SOUTH_WEST = 10, 9,  0, 12
BEARER, WALKING, FISH, WEST       = 10, 9, 12, 12
BEARER, WALKING, FISH, NORTH_WEST = 10, 9, 24, 12
BEARER, WALKING, FISH, NORTH_EAST = 10, 9, 36, 12
BEARER, WALKING, FISH, EAST       = 10, 9, 48, 12
BEARER, WALKING, FISH, SOUTH_EAST = 10, 9, 60, 12
BEARER, WALKING, MEAT, SOUTH_WEST = 10, 10,  0, 12
BEARER, WALKING, MEAT, WEST       = 10, 10, 12, 12
BEARER, WALKING, MEAT, NORTH_WEST = 10, 10, 24, 12
BEARER, WALKING, MEAT, NORTH_EAST = 10, 10, 36, 12
BEARER, WALKING, MEAT, EAST       = 10, 10, 48, 12
BEARER, WALKING, MEAT, SOUTH_EAST = 10, 10, 60, 12
BEARER, WALKING, CROP, SOUTH_WEST = 10, 11,  0, 12
BEARER, WALKING, CROP, WEST       = 10, 11, 12, 12
BEARER, WALKING, CROP, NORTH_WEST = 10, 11, 24, 12
BEARER, WALKING, CROP, NORTH_EAST = 10, 11, 36, 12
BEARER, WALKING, CROP, EAST       = 10, 11, 48, 12
BEARER, WALKING, CROP, SOUTH_EAST = 10, 11, 60, 12
BEARER, WALKING, FLOUR, SOUTH_WEST = 10, 12,  0, 12
BEARER, WALKING, FLOUR, WEST       = 10, 12, 12, 12
BEARER, WALKING, FLOUR, NORTH_WEST = 10, 12, 24, 12
BEARER, WALKING, FLOUR, NORTH_EAST = 10, 12, 36, 12
BEARER, WALKING, FLOUR, EAST       = 10, 12, 48, 12
BEARER, WALKING, FLOUR, SOUTH_EAST = 10, 12, 60, 12
BEARER, WALKING, IRON, SOUTH_WEST = 10, 13,  0, 12
BEARER, WALKING, IRON, WEST       = 10, 13, 12, 12
BEARER, WALKING, IRON, NORTH_WEST = 10, 13, 24, 12
BEARER, WALKING, IRON, NORTH_EAST = 10, 13, 36, 12
BEARER, WALKING, IRON, EAST       = 10, 13, 48, 12
BEARER, WALKING, IRON, SOUTH_EAST = 10, 13, 60, 12
BEARER, WALKING, GOLD, SOUTH_WEST = 10, 14,  0, 12
BEARER, WALKING, GOLD, WEST       = 10, 14, 12, 12
BEARER, WALKING, GOLD, NORTH_WEST = 10, 14, 24, 12
BEARER, WALKING, GOLD, NORTH_EAST = 10, 14, 36, 12
BEARER, WALKING, GOLD, EAST       = 10, 14, 48, 12
BEARER, WALKING, GOLD, SOUTH_EAST = 10, 14, 60, 12
BEARER, WALKING, WATER, SOUTH_WEST = 10, 15,  0, 12
BEARER, WALKING, WATER, WEST       = 10, 15, 12, 12
BEARER, WALKING, WATER, NORTH_WEST = 10, 15, 24, 12
BEARER, WALKING, WATER, NORTH_EAST = 10, 15, 36, 12
BEARER, WALKING, WATER, EAST       = 10, 15, 48, 12
BEARER, WALKING, WATER, SOUTH_EAST = 10, 15, 60, 12
BEARER, WALKING, HAMMER, SOUTH_WEST = 10, 16,  0, 12
BEARER, WALKING, HAMMER, WEST       = 10, 16, 12, 12
BEARER, WALKING, HAMMER, NORTH_WEST = 10, 16, 24, 12
BEARER, WALKING, HAMMER, NORTH_EAST = 10, 16, 36, 12
BEARER, WALKING, HAMMER, EAST       = 10, 16, 48, 12
BEARER, WALKING, HAMMER, SOUTH_EAST = 10, 16, 60, 12
BEARER, WALKING, PICK, SOUTH_WEST = 10, 17,  0, 12
BEARER, WALKING, PICK, WEST       = 10, 17, 12, 12
BEARER, WALKING, PICK, NORTH_WEST = 10, 17, 24, 12
BEARER, WALKING, PICK, NORTH_EAST = 10, 17, 36, 12
BEARER, WALKING, PICK, EAST       = 10, 17, 48, 12
BEARER, WALKING, PICK, SOUTH_EAST = 10, 17, 60, 12
BEARER, WALKING, FISHINGROD, SOUTH_WEST = 10, 18,  0, 12
BEARER, WALKING, FISHINGROD, WEST       = 10, 18, 12, 12
BEARER, WALKING, FISHINGROD, NORTH_WEST = 10, 18, 24, 12
BEARER, WALKING, FISHINGROD, NORTH_EAST = 10, 18, 36, 12
BEARER, WALKING, FISHINGROD, EAST       = 10, 18, 48, 12
BEARER, WALKING, FISHINGROD, SOUTH_EAST = 10, 18, 60, 12
BEARER, WALKING, SCYTHE, SOUTH_WEST = 10, 19,  0, 12
BEARER, WALKING, SCYTHE, WEST       = 10, 19, 12, 12
BEARER, WALKING, SCYTHE, NORTH_WEST = 10, 19, 24, 12
BEARER, WALKING, SCYTHE, NORTH_EAST = 10, 19, 36, 12
BEARER, WALKING, SCYTHE, EAST       = 10, 19, 48, 12
BEARER, WALKING, SCYTHE, SOUTH_EAST = 10, 19, 60, 12
BEARER, WALKING, SAW, SOUTH_WEST = 10, 20,  0, 12
BEARER, WALKING, SAW, WEST       = 10, 20, 12, 12
BEARER, WALKING, SAW, NORTH_WEST = 10, 20, 24, 12
BEARER, WALKING, SAW, NORTH_EAST = 10, 20, 36, 12
BEARER, WALKING, SAW, EAST       = 10, 20, 48, 12
BEARER, WALKING, SAW, SOUTH_EAST = 10, 20, 60, 12
BEARER, WALKING, BLADE, SOUTH_WEST = 10, 21,  0, 12
BEARER, WALKING, BLADE, WEST       = 10, 21, 12, 12
BEARER, WALKING, BLADE, NORTH_WEST = 10, 21, 24, 12
BEARER, WALKING, BLADE, NORTH_EAST = 10, 21, 36, 12
BEARER, WALKING, BLADE, EAST       = 10, 21, 48, 12
BEARER, WALKING, BLADE, SOUTH_EAST = 10, 21, 60, 12
BEARER, WALKING, BOW, SOUTH_WEST = 10, 22,  0, 12
BEARER, WALKING, BOW, WEST       = 10, 22, 12, 12
BEARER, WALKING, BOW, NORTH_WEST = 10, 22, 24, 12
BEARER, WALKING, BOW, NORTH_EAST = 10, 22, 36, 12
BEARER, WALKING, BOW, EAST       = 10, 22, 48, 12
BEARER, WALKING, BOW, SOUTH_EAST = 10, 22, 60, 12
BEARER, WALKING, SPEAR, SOUTH_WEST = 10, 23,  0, 12
BEARER, WALKING, SPEAR, WEST       = 10, 23, 12, 12
BEARER, WALKING, SPEAR, NORTH_WEST = 10, 23, 24, 12
BEARER, WALKING, SPEAR, NORTH_EAST = 10, 23, 36, 12
BEARER, WALKING, SPEAR, EAST       = 10, 23, 48, 12
BEARER, WALKING, SPEAR, SOUTH_EAST = 10, 23, 60, 12
BEARER, WALKING, SWORD, SOUTH_WEST = 10, 24,  0, 12
BEARER, WALKING, SWORD, WEST       = 10, 24, 12, 12
BEARER, WALKING, SWORD, NORTH_WEST = 10, 24, 24, 12
BEARER, WALKING, SWORD, NORTH_EAST = 10, 24, 36, 12
BEARER, WALKING, SWORD, EAST       = 10, 24, 48, 12
BEARER, WALKING, SWORD, SOUTH_EAST = 10, 24, 60, 12
BEARER, WALKING, AXE, SOUTH_WEST = 10, 35,  0, 12
BEARER, WALKING, AXE, WEST       = 10, 35, 12, 12
BEARER, WALKING, AXE, NORTH_WEST = 10, 35, 24, 12
BEARER, WALKING, AXE, NORTH_EAST = 10, 35, 36, 12
BEARER, WALKING, AXE, EAST       = 10, 35, 48, 12
BEARER, WALKING, AXE, SOUTH_EAST = 10, 35, 60, 12
BEARER, WALKING, WINE, SOUTH_WEST = 10, 54,  0, 12
BEARER, WALKING, WINE, WEST       = 10, 54, 12, 12
BEARER, WALKING, WINE, NORTH_WEST = 10, 54, 24, 12
BEARER, WALKING, WINE, NORTH_EAST = 10, 54, 36, 12
BEARER, WALKING, WINE, EAST       = 10, 54, 48, 12
BEARER, WALKING, WINE, SOUTH_EAST = 10, 54, 60, 12
BEARER, WALKING, KEG, SOUTH_WEST = 10, 55,  0, 12
BEARER, WALKING, KEG, WEST       = 10, 55, 12, 12
BEARER, WALKING, KEG, NORTH_WEST = 10, 55, 24, 12
BEARER, WALKING, KEG, NORTH_EAST = 10, 55, 36, 12
BEARER, WALKING, KEG, EAST       = 10, 55, 48, 12
BEARER, WALKING, KEG, SOUTH_EAST = 10, 55, 60, 12
BEARER, WALKING, BOX, SOUTH_WEST = 10, 56,  0, 12
BEARER, WALKING, BOX, WEST       = 10, 56, 12, 12
BEARER, WALKING, BOX, NORTH_WEST = 10, 56, 24, 12
BEARER, WALKING, BOX, NORTH_EAST = 10, 56, 36, 12
BEARER, WALKING, BOX, EAST       = 10, 56, 48, 12
BEARER, WALKING, BOX, SOUTH_EAST = 10, 56, 60, 12
BEARER, WALKING, GEMS, SOUTH_WEST = 10, 57,  0, 12
BEARER, WALKING, GEMS, WEST       = 10, 57, 12, 12
BEARER, WALKING, GEMS, NORTH_WEST = 10, 57, 24, 12
BEARER, WALKING, GEMS, NORTH_EAST = 10, 57, 36, 12
BEARER, WALKING, GEMS, EAST       = 10, 57, 48, 12
BEARER, WALKING, GEMS, SOUTH_EAST = 10, 57, 60, 12
BEARER, WALKING, RICE, SOUTH_WEST = 10, 58,  0, 12
BEARER, WALKING, RICE, WEST       = 10, 58, 12, 12
BEARER, WALKING, RICE, NORTH_WEST = 10, 58, 24, 12
BEARER, WALKING, RICE, NORTH_EAST = 10, 58, 36, 12
BEARER, WALKING, RICE, EAST       = 10, 58, 48, 12
BEARER, WALKING, RICE, SOUTH_EAST = 10, 58, 60, 12
BEARER, WALKING, SULFUR, SOUTH_WEST = 10, 59,  0, 12
BEARER, WALKING, SULFUR, WEST       = 10, 59, 12, 12
BEARER, WALKING, SULFUR, NORTH_WEST = 10, 59, 24, 12
BEARER, WALKING, SULFUR, NORTH_EAST = 10, 59, 36, 12
BEARER, WALKING, SULFUR, EAST       = 10, 59, 48, 12
BEARER, WALKING, SULFUR, SOUTH_EAST = 10, 59, 60, 12


BEARER, NO_ACTION, NO_MATERIAL, SOUTH_WEST = 10, 0,  0, 1
BEARER, NO_ACTION, NO_MATERIAL, WEST       = 10, 0, 12, 1
BEARER, NO_ACTION, NO_MATERIAL, NORTH_WEST = 10, 0, 24, 1
BEARER, NO_ACTION, NO_MATERIAL, NORTH_EAST = 10, 0, 36, 1
BEARER, NO_ACTION, NO_MATERIAL, EAST       = 10, 0, 48, 1
BEARER, NO_ACTION, NO_MATERIAL, SOUTH_EAST = 10, 0, 60, 1
BEARER, NO_ACTION, PLANK, SOUTH_WEST = 10, 1,  0, 1
BEARER, NO_ACTION, PLANK, WEST       = 10, 1, 12, 1
BEARER, NO_ACTION, PLANK, NORTH_WEST = 10, 1, 24, 1
BEARER, NO_ACTION, PLANK, NORTH_EAST = 10, 1, 36, 1
BEARER, NO_ACTION, PLANK, EAST       = 10, 1, 48, 1
BEARER, NO_ACTION, PLANK, SOUTH_EAST = 10, 1, 60, 1
BEARER, NO_ACTION, STONE, SOUTH_WEST = 10, 2,  0, 1
BEARER, NO_ACTION, STONE, WEST       = 10, 2, 12, 1
BEARER, NO_ACTION, STONE, NORTH_WEST = 10, 2, 24, 1
BEARER, NO_ACTION, STONE, NORTH_EAST = 10, 2, 36, 1
BEARER, NO_ACTION, STONE, EAST       = 10, 2, 48, 1
BEARER, NO_ACTION, STONE, SOUTH_EAST = 10, 2, 60, 1
BEARER, NO_ACTION, PIG, SOUTH_WEST = 10, 3,  0, 1
BEARER, NO_ACTION, PIG, WEST       = 10, 3, 12, 1
BEARER, NO_ACTION, PIG, NORTH_WEST = 10, 3, 24, 1
BEARER, NO_ACTION, PIG, NORTH_EAST = 10, 3, 36, 1
BEARER, NO_ACTION, PIG, EAST       = 10, 3, 48, 1
BEARER, NO_ACTION, PIG, SOUTH_EAST = 10, 3, 60, 1
BEARER, NO_ACTION, TRUNK, SOUTH_WEST = 10, 4,  0, 1
BEARER, NO_ACTION, TRUNK, WEST       = 10, 4, 12, 1
BEARER, NO_ACTION, TRUNK, NORTH_WEST = 10, 4, 24, 1
BEARER, NO_ACTION, TRUNK, NORTH_EAST = 10, 4, 36, 1
BEARER, NO_ACTION, TRUNK, EAST       = 10, 4, 48, 1
BEARER, NO_ACTION, TRUNK, SOUTH_EAST = 10, 4, 60, 1
BEARER, NO_ACTION, BREAD, SOUTH_WEST = 10, 5,  0, 1
BEARER, NO_ACTION, BREAD, WEST       = 10, 5, 12, 1
BEARER, NO_ACTION, BREAD, NORTH_WEST = 10, 5, 24, 1
BEARER, NO_ACTION, BREAD, NORTH_EAST = 10, 5, 36, 1
BEARER, NO_ACTION, BREAD, EAST       = 10, 5, 48, 1
BEARER, NO_ACTION, BREAD, SOUTH_EAST = 10, 5, 60, 1
BEARER, NO_ACTION, COAL, SOUTH_WEST = 10, 6,  0, 1
BEARER, NO_ACTION, COAL, WEST       = 10, 6, 12, 1
BEARER, NO_ACTION, COAL, NORTH_WEST = 10, 6, 24, 1
BEARER, NO_ACTION, COAL, NORTH_EAST = 10, 6, 36, 1
BEARER, NO_ACTION, COAL, EAST       = 10, 6, 48, 1
BEARER, NO_ACTION, COAL, SOUTH_EAST = 10, 6, 60, 1
BEARER, NO_ACTION, GOLDORE, SOUTH_WEST = 10, 7,  0, 1
BEARER, NO_ACTION, GOLDORE, WEST       = 10, 7, 12, 1
BEARER, NO_ACTION, GOLDORE, NORTH_WEST = 10, 7, 24, 1
BEARER, NO_ACTION, GOLDORE, NORTH_EAST = 10, 7, 36, 1
BEARER, NO_ACTION, GOLDORE, EAST       = 10, 7, 48, 1
BEARER, NO_ACTION, GOLDORE, SOUTH_EAST = 10, 7, 60, 1
BEARER, NO_ACTION, IRONORE, SOUTH_WEST = 10, 8,  0, 1
BEARER, NO_ACTION, IRONORE, WEST       = 10, 8, 12, 1
BEARER, NO_ACTION, IRONORE, NORTH_WEST = 10, 8, 24, 1
BEARER, NO_ACTION, IRONORE, NORTH_EAST = 10, 8, 36, 1
BEARER, NO_ACTION, IRONORE, EAST       = 10, 8, 48, 1
BEARER, NO_ACTION, IRONORE, SOUTH_EAST = 10, 8, 60, 1
BEARER, NO_ACTION, FISH, SOUTH_WEST = 10, 9,  0, 1
BEARER, NO_ACTION, FISH, WEST       = 10, 9, 12, 1
BEARER, NO_ACTION, FISH, NORTH_WEST = 10, 9, 24, 1
BEARER, NO_ACTION, FISH, NORTH_EAST = 10, 9, 36, 1
BEARER, NO_ACTION, FISH, EAST       = 10, 9, 48, 1
BEARER, NO_ACTION, FISH, SOUTH_EAST = 10, 9, 60, 1
BEARER, NO_ACTION, MEAT, SOUTH_WEST = 10, 10,  0, 1
BEARER, NO_ACTION, MEAT, WEST       = 10, 10, 12, 1
BEARER, NO_ACTION, MEAT, NORTH_WEST = 10, 10, 24, 1
BEARER, NO_ACTION, MEAT, NORTH_EAST = 10, 10, 36, 1
BEARER, NO_ACTION, MEAT, EAST       = 10, 10, 48, 1
BEARER, NO_ACTION, MEAT, SOUTH_EAST = 10, 10, 60, 1
BEARER, NO_ACTION, CROP, SOUTH_WEST = 10, 11,  0, 1
BEARER, NO_ACTION, CROP, WEST       = 10, 11, 12, 1
BEARER, NO_ACTION, CROP, NORTH_WEST = 10, 11, 24, 1
BEARER, NO_ACTION, CROP, NORTH_EAST = 10, 11, 36, 1
BEARER, NO_ACTION, CROP, EAST       = 10, 11, 48, 1
BEARER, NO_ACTION, CROP, SOUTH_EAST = 10, 11, 60, 1
BEARER, NO_ACTION, FLOUR, SOUTH_WEST = 10, 12,  0, 1
BEARER, NO_ACTION, FLOUR, WEST       = 10, 12, 12, 1
BEARER, NO_ACTION, FLOUR, NORTH_WEST = 10, 12, 24, 1
BEARER, NO_ACTION, FLOUR, NORTH_EAST = 10, 12, 36, 1
BEARER, NO_ACTION, FLOUR, EAST       = 10, 12, 48, 1
BEARER, NO_ACTION, FLOUR, SOUTH_EAST = 10, 12, 60, 1
BEARER, NO_ACTION, IRON, SOUTH_WEST = 10, 13,  0, 1
BEARER, NO_ACTION, IRON, WEST       = 10, 13, 12, 1
BEARER, NO_ACTION, IRON, NORTH_WEST = 10, 13, 24, 1
BEARER, NO_ACTION, IRON, NORTH_EAST = 10, 13, 36, 1
BEARER, NO_ACTION, IRON, EAST       = 10, 13, 48, 1
BEARER, NO_ACTION, IRON, SOUTH_EAST = 10, 13, 60, 1
BEARER, NO_ACTION, GOLD, SOUTH_WEST = 10, 14,  0, 1
BEARER, NO_ACTION, GOLD, WEST       = 10, 14, 12, 1
BEARER, NO_ACTION, GOLD, NORTH_WEST = 10, 14, 24, 1
BEARER, NO_ACTION, GOLD, NORTH_EAST = 10, 14, 36, 1
BEARER, NO_ACTION, GOLD, EAST       = 10, 14, 48, 1
BEARER, NO_ACTION, GOLD, SOUTH_EAST = 10, 14, 60, 1
BEARER, NO_ACTION, WATER, SOUTH_WEST = 10, 15,  0, 1
BEARER, NO_ACTION, WATER, WEST       = 10, 15, 12, 1
BEARER, NO_ACTION, WATER, NORTH_WEST = 10, 15, 24, 1
BEARER, NO_ACTION, WATER, NORTH_EAST = 10, 15, 36, 1
BEARER, NO_ACTION, WATER, EAST       = 10, 15, 48, 1
BEARER, NO_ACTION, WATER, SOUTH_EAST = 10, 15, 60, 1
BEARER, NO_ACTION, HAMMER, SOUTH_WEST = 10, 16,  0, 1
BEARER, NO_ACTION, HAMMER, WEST       = 10, 16, 12, 1
BEARER, NO_ACTION, HAMMER, NORTH_WEST = 10, 16, 24, 1
BEARER, NO_ACTION, HAMMER, NORTH_EAST = 10, 16, 36, 1
BEARER, NO_ACTION, HAMMER, EAST       = 10, 16, 48, 1
BEARER, NO_ACTION, HAMMER, SOUTH_EAST = 10, 16, 60, 1
BEARER, NO_ACTION, PICK, SOUTH_WEST = 10, 17,  0, 1
BEARER, NO_ACTION, PICK, WEST       = 10, 17, 12, 1
BEARER, NO_ACTION, PICK, NORTH_WEST = 10, 17, 24, 1
BEARER, NO_ACTION, PICK, NORTH_EAST = 10, 17, 36, 1
BEARER, NO_ACTION, PICK, EAST       = 10, 17, 48, 1
BEARER, NO_ACTION, PICK, SOUTH_EAST = 10, 17, 60, 1
BEARER, NO_ACTION, FISHINGROD, SOUTH_WEST = 10, 18,  0, 1
BEARER, NO_ACTION, FISHINGROD, WEST       = 10, 18, 12, 1
BEARER, NO_ACTION, FISHINGROD, NORTH_WEST = 10, 18, 24, 1
BEARER, NO_ACTION, FISHINGROD, NORTH_EAST = 10, 18, 36, 1
BEARER, NO_ACTION, FISHINGROD, EAST       = 10, 18, 48, 1
BEARER, NO_ACTION, FISHINGROD, SOUTH_EAST = 10, 18, 60, 1
BEARER, NO_ACTION, SCYTHE, SOUTH_WEST = 10, 19,  0, 1
BEARER, NO_ACTION, SCYTHE, WEST       = 10, 19, 12, 1
BEARER, NO_ACTION, SCYTHE, NORTH_WEST = 10, 19, 24, 1
BEARER, NO_ACTION, SCYTHE, NORTH_EAST = 10, 19, 36, 1
BEARER, NO_ACTION, SCYTHE, EAST       = 10, 19, 48, 1
BEARER, NO_ACTION, SCYTHE, SOUTH_EAST = 10, 19, 60, 1
BEARER, NO_ACTION, SAW, SOUTH_WEST = 10, 20,  0, 1
BEARER, NO_ACTION, SAW, WEST       = 10, 20, 12, 1
BEARER, NO_ACTION, SAW, NORTH_WEST = 10, 20, 24, 1
BEARER, NO_ACTION, SAW, NORTH_EAST = 10, 20, 36, 1
BEARER, NO_ACTION, SAW, EAST       = 10, 20, 48, 1
BEARER, NO_ACTION, SAW, SOUTH_EAST = 10, 20, 60, 1
BEARER, NO_ACTION, BLADE, SOUTH_WEST = 10, 21,  0, 1
BEARER, NO_ACTION, BLADE, WEST       = 10, 21, 12, 1
BEARER, NO_ACTION, BLADE, NORTH_WEST = 10, 21, 24, 1
BEARER, NO_ACTION, BLADE, NORTH_EAST = 10, 21, 36, 1
BEARER, NO_ACTION, BLADE, EAST       = 10, 21, 48, 1
BEARER, NO_ACTION, BLADE, SOUTH_EAST = 10, 21, 60, 1
BEARER, NO_ACTION, BOW, SOUTH_WEST = 10, 22,  0, 1
BEARER, NO_ACTION, BOW, WEST       = 10, 22, 12, 1
BEARER, NO_ACTION, BOW, NORTH_WEST = 10, 22, 24, 1
BEARER, NO_ACTION, BOW, NORTH_EAST = 10, 22, 36, 1
BEARER, NO_ACTION, BOW, EAST       = 10, 22, 48, 1
BEARER, NO_ACTION, BOW, SOUTH_EAST = 10, 22, 60, 1
BEARER, NO_ACTION, SPEAR, SOUTH_WEST = 10, 23,  0, 1
BEARER, NO_ACTION, SPEAR, WEST       = 10, 23, 12, 1
BEARER, NO_ACTION, SPEAR, NORTH_WEST = 10, 23, 24, 1
BEARER, NO_ACTION, SPEAR, NORTH_EAST = 10, 23, 36, 1
BEARER, NO_ACTION, SPEAR, EAST       = 10, 23, 48, 1
BEARER, NO_ACTION, SPEAR, SOUTH_EAST = 10, 23, 60, 1
BEARER, NO_ACTION, SWORD, SOUTH_WEST = 10, 24,  0, 1
BEARER, NO_ACTION, SWORD, WEST       = 10, 24, 12, 1
BEARER, NO_ACTION, SWORD, NORTH_WEST = 10, 24, 24, 1
BEARER, NO_ACTION, SWORD, NORTH_EAST = 10, 24, 36, 1
BEARER, NO_ACTION, SWORD, EAST       = 10, 24, 48, 1
BEARER, NO_ACTION, SWORD, SOUTH_EAST = 10, 24, 60, 1
BEARER, NO_ACTION, AXE, SOUTH_WEST = 10, 35,  0, 1
BEARER, NO_ACTION, AXE, WEST       = 10, 35, 12, 1
BEARER, NO_ACTION, AXE, NORTH_WEST = 10, 35, 24, 1
BEARER, NO_ACTION, AXE, NORTH_EAST = 10, 35, 36, 1
BEARER, NO_ACTION, AXE, EAST       = 10, 35, 48, 1
BEARER, NO_ACTION, AXE, SOUTH_EAST = 10, 35, 60, 1
BEARER, NO_ACTION, WINE, SOUTH_WEST = 10, 54,  0, 1
BEARER, NO_ACTION, WINE, WEST       = 10, 54, 12, 1
BEARER, NO_ACTION, WINE, NORTH_WEST = 10, 54, 24, 1
BEARER, NO_ACTION, WINE, NORTH_EAST = 10, 54, 36, 1
BEARER, NO_ACTION, WINE, EAST       = 10, 54, 48, 1
BEARER, NO_ACTION, WINE, SOUTH_EAST = 10, 54, 60, 1
BEARER, NO_ACTION, KEG, SOUTH_WEST = 10, 55,  0, 1
BEARER, NO_ACTION, KEG, WEST       = 10, 55, 12, 1
BEARER, NO_ACTION, KEG, NORTH_WEST = 10, 55, 24, 1
BEARER, NO_ACTION, KEG, NORTH_EAST = 10, 55, 36, 1
BEARER, NO_ACTION, KEG, EAST       = 10, 55, 48, 1
BEARER, NO_ACTION, KEG, SOUTH_EAST = 10, 55, 60, 1
BEARER, NO_ACTION, BOX, SOUTH_WEST = 10, 56,  0, 1
BEARER, NO_ACTION, BOX, WEST       = 10, 56, 12, 1
BEARER, NO_ACTION, BOX, NORTH_WEST = 10, 56, 24, 1
BEARER, NO_ACTION, BOX, NORTH_EAST = 10, 56, 36, 1
BEARER, NO_ACTION, BOX, EAST       = 10, 56, 48, 1
BEARER, NO_ACTION, BOX, SOUTH_EAST = 10, 56, 60, 1
BEARER, NO_ACTION, GEMS, SOUTH_WEST = 10, 57,  0, 1
BEARER, NO_ACTION, GEMS, WEST       = 10, 57, 12, 1
BEARER, NO_ACTION, GEMS, NORTH_WEST = 10, 57, 24, 1
BEARER, NO_ACTION, GEMS, NORTH_EAST = 10, 57, 36, 1
BEARER, NO_ACTION, GEMS, EAST       = 10, 57, 48, 1
BEARER, NO_ACTION, GEMS, SOUTH_EAST = 10, 57, 60, 1
BEARER, NO_ACTION, RICE, SOUTH_WEST = 10, 58,  0, 1
BEARER, NO_ACTION, RICE, WEST       = 10, 58, 12, 1
BEARER, NO_ACTION, RICE, NORTH_WEST = 10, 58, 24, 1
BEARER, NO_ACTION, RICE, NORTH_EAST = 10, 58, 36, 1
BEARER, NO_ACTION, RICE, EAST       = 10, 58, 48, 1
BEARER, NO_ACTION, RICE, SOUTH_EAST = 10, 58, 60, 1
BEARER, NO_ACTION, SULFUR, SOUTH_WEST = 10, 59,  0, 1
